ID;genre;situation_academique;domaine_etude;a_deja_vecu_kot;region_domicile;intention_erasmus;facteur_budget;facteur_barriere_langue;facteur_loin_famille;facteur_relation_amoureuse;facteur_climat;facteur_culture;facteur_alimentation;facteur_confort;facteur_craintes_sociales;facteur_organisation;classement_zone_preferee;destination_ideale_en_tete;destination_ideale;lien_destination;importance_culture_locale;importance_langue_locale;importance_prestige_universites;importance_offre_universites;importance_distance_origine;importance_politique_pays;importance_cout_vie;importance_richesse_pays;importance_climat_destination;importance_agencement_villes;importance_impact_climatique_trajet;importance_subside;importance_aide_topup_ecoresponsable;importance_securite
24;Femme;Doctorat;Medecine / dentisterie / kinésitérapeute;Non;Urbaine;Oui;;;;;;;;;;;"Amérique latine;Amérique du Nord (US et Canada);Océanie;Scandinavie (Pays du nord de l'Europe);Afrique du Nord;Afrique Sub-Saharienne;Asie de l'Est;Europe occidentale;Asie (centrale/ du Sud);Europe de l'Est;";Oui;Chili ;Non;Modérément;Modérément;Modérément;Modérément;Peu;Peu;Modérément;Modérément;Modérément;Peu;Peu;Modérément;Peu;Modérément
25;Homme;Master ;Sciences;Oui;Urbaine;Oui;;;;;;;;;;;"Amérique latine;Amérique du Nord (US et Canada);Afrique Sub-Saharienne;Afrique du Nord;Asie de l'Est;Asie (centrale/ du Sud);Océanie;Europe occidentale;Scandinavie (Pays du nord de l'Europe);Europe de l'Est;";Non;;;Très fort;Fort;Modérément;Modérément;Peu;Peu;Fort;Peu;Fort;Modérément;Peu;Peu;Peu;Modérément
26;Homme;Master ;Gestion (ingénieur);Oui;Urbaine;Oui;;;;;;;;;;;"Asie (centrale/ du Sud);Asie de l'Est;Amérique du Nord (US et Canada);Océanie;Scandinavie (Pays du nord de l'Europe);Amérique latine;Europe occidentale;Europe de l'Est;Afrique Sub-Saharienne;Afrique du Nord;";Oui;Inde;Non;Modérément;Fort;Fort;Peu;Très peu;Très peu;Modérément;Très peu;Fort;Modérément;Très peu;Très peu;Très peu;Modérément
28;Femme;Je ne suis plus aux études;Medecine / dentisterie / kinésitérapeute;Non;Urbaine;Oui;;;;;;;;;;;"Océanie;Amérique latine;Amérique du Nord (US et Canada);Europe occidentale;Afrique Sub-Saharienne;Asie (centrale/ du Sud);Asie de l'Est;Afrique du Nord;Europe de l'Est;Scandinavie (Pays du nord de l'Europe);";Non;;;Fort;Très fort;Fort;Modérément;Peu;Fort;Modérément;Modérément;Fort;Modérément;Modérément;Peu;Modérément;Fort
29;Homme;Master ;Droit;Oui;Urbaine;Peut-être;;;;;;;;;;;"Europe occidentale;Océanie;Asie de l'Est;Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Afrique du Nord;Amérique du Nord (US et Canada);Asie (centrale/ du Sud);Afrique Sub-Saharienne;Amérique latine;";Non;;;Fort;Fort;Modérément;Modérément;Peu;Fort;Très fort;Modérément;Fort;Très fort;Modérément;Fort;Fort;Très fort
30;Femme;Master ;Philosophie, arts et lettres;Oui;Rurale;Oui;;;;;;;;;;;"Amérique latine;Océanie;Asie de l'Est;Asie (centrale/ du Sud);Afrique du Nord;Afrique Sub-Saharienne;Europe occidentale;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Europe de l'Est;";Non;;;Très fort;Fort;Peu;Modérément;Fort;Fort;Très fort;Très peu;Très fort;Fort;Modérément;Modérément;Modérément;Modérément
31;Femme;Bac;Sciences;Oui;Urbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Asie de l'Est;Europe de l'Est;Océanie;Europe occidentale;Asie (centrale/ du Sud);Amérique du Nord (US et Canada);Amérique latine;Afrique du Nord;Afrique Sub-Saharienne;";Non;;;Très fort;Très fort;Modérément;Modérément;Peu;Fort;Fort;Modérément;Modérément;Fort;Modérément;Peu;Modérément;Fort
32;Homme;Master ;Sciences;Oui;Rurale;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Amérique latine;Afrique du Nord;Europe de l'Est;Asie de l'Est;Europe occidentale;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Océanie;Amérique du Nord (US et Canada);";Oui;Oslo;Non;Modérément;Peu;Fort;Fort;Modérément;Modérément;Peu;Peu;Modérément;Modérément;Fort;Fort;Fort;Modérément
33;Homme;Master ;Sciences;Non;Périurbaine;Peut-être;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Asie de l'Est;Océanie;Amérique latine;Afrique Sub-Saharienne;Europe de l'Est;Amérique du Nord (US et Canada);Europe occidentale;Asie (centrale/ du Sud);Afrique du Nord;";Non;;;Fort;Modérément;Très peu;Fort;Peu;Fort;Fort;Modérément;Modérément;Modérément;Modérément;Modérément;Modérément;Modérément
34;Homme;Je ne suis plus aux études;Sciences de l’éducation;Oui;Périurbaine;Oui;;;;;;;;;;;"Amérique latine;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Asie (centrale/ du Sud);Afrique Sub-Saharienne;Asie de l'Est;Afrique du Nord;Europe de l'Est;Océanie;Europe occidentale;";Oui;Mexique ;Non;Très fort;Très peu;Modérément;Modérément;Très peu;Très fort;Fort;Peu;Fort;Fort;Modérément;Modérément;Très fort;Très fort
35;Femme;Master ;Sciences politiques, sociales, économiques, de communication;Oui;Urbaine;Oui;;;;;;;;;;;"Europe occidentale;Amérique latine;Afrique Sub-Saharienne;Amérique du Nord (US et Canada);Afrique du Nord;Europe de l'Est;Asie de l'Est;Asie (centrale/ du Sud);Océanie;Scandinavie (Pays du nord de l'Europe);";Oui;France;Oui;Fort;Très fort;Fort;Fort;Très peu;Modérément;Modérément;Modérément;Fort;Très peu;Très peu;Modérément;Très peu;Peu
36;Femme;Master ;Autre / Je ne suis pas concerné;Non;Urbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Asie de l'Est;Asie (centrale/ du Sud);Amérique du Nord (US et Canada);Amérique latine;Océanie;Afrique du Nord;Afrique Sub-Saharienne;Europe de l'Est;Europe occidentale;";Oui;Edimbourg;Non;Fort;Très fort;Modérément;Modérément;Fort;Modérément;Très peu;Modérément;Modérément;Modérément;Fort;Modérément;Fort;Fort
37;Femme;Master ;Droit;Non;Périurbaine;Oui;;;;;;;;;;;"Europe occidentale;Europe de l'Est;Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Asie de l'Est;Asie (centrale/ du Sud);Océanie;Amérique latine;Afrique Sub-Saharienne;Afrique du Nord;";Non;;;Fort;Modérément;Fort;Fort;Très peu;Fort;Modérément;Peu;Modérément;Fort;Modérément;Fort;Fort;Fort
38;Femme;Master ;Autre / Je ne suis pas concerné;Oui;Urbaine;Oui;;;;;;;;;;;"Europe occidentale;Europe de l'Est;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Océanie;Asie (centrale/ du Sud);Amérique latine;Asie de l'Est;Afrique Sub-Saharienne;Afrique du Nord;";Oui;Paris, FRANCE;Oui;Très fort;Fort;Très fort;Très fort;Peu;Fort;Modérément;Fort;Fort;Très fort;Modérément;Modérément;Modérément;Modérément
40;Homme;Bac;Ingénieur civil / industriel;Oui;Urbaine;Peut-être;;;;;;;;;;;"Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Europe occidentale;Europe de l'Est;Asie de l'Est;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Amérique latine;Afrique du Nord;Océanie;";Oui;USA;Non;Modérément;Modérément;Fort;Fort;Fort;Modérément;Peu;Modérément;Modérément;Modérément;Fort;Fort;Modérément;Modérément
41;Homme;Master ;Sciences;Oui;Rurale;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Europe occidentale;Amérique du Nord (US et Canada);Europe de l'Est;Amérique latine;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Afrique du Nord;Asie de l'Est;Océanie;";Non;;;Fort;Fort;Peu;Modérément;Peu;Fort;Fort;Peu;Très fort;Très fort;Très fort;Très fort;Très fort;Très fort
42;Femme;Master ;Sciences;Oui;Périurbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Océanie;Asie de l'Est;Europe occidentale;Asie (centrale/ du Sud);Europe de l'Est;Amérique du Nord (US et Canada);Amérique latine;Afrique du Nord;Afrique Sub-Saharienne;";Oui;Danemark;Non;Fort;Très peu;Modérément;Fort;Modérément;Très fort;Peu;Peu;Peu;Modérément;Modérément;Fort;Peu;Fort
43;Homme;Je ne suis plus aux études;Sciences politiques, sociales, économiques, de communication;Oui;Urbaine;Oui;;;;;;;;;;;"Europe occidentale;Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Asie de l'Est;Amérique latine;Océanie;Europe de l'Est;Afrique du Nord;Asie (centrale/ du Sud);Afrique Sub-Saharienne;";Non;;;Très fort;Modérément;Modérément;Fort;Très peu;Fort;Très fort;Modérément;Modérément;Fort;Très peu;Très fort;Peu;Fort
44;Homme;Bac;Autre / Je ne suis pas concerné;Non;Urbaine;Oui;;;;;;;;;;;"Asie de l'Est;Amérique du Nord (US et Canada);Europe occidentale;Amérique latine;Scandinavie (Pays du nord de l'Europe);Afrique du Nord;Asie (centrale/ du Sud);Europe de l'Est;Océanie;Afrique Sub-Saharienne;";Oui;Japon - Canada - Royaume-Uni;Oui;Très fort;Très fort;Peu;Modérément;Modérément;Peu;Fort;Fort;Peu;Modérément;Très peu;Fort;Fort;Fort
45;Homme;Master ;Psychologie;Oui;Périurbaine;Oui;;;;;;;;;;;"Europe occidentale;Europe de l'Est;Amérique latine;Scandinavie (Pays du nord de l'Europe);Océanie;Amérique du Nord (US et Canada);Afrique du Nord;Asie de l'Est;Afrique Sub-Saharienne;Asie (centrale/ du Sud);";Oui;Padoue;Oui;Très fort;Très fort;Très fort;Très fort;Très peu;Très peu;Modérément;Modérément;Peu;Fort;Très peu;Très peu;Très peu;Modérément
46;Homme;Je ne suis plus aux études;Sciences politiques, sociales, économiques, de communication;Oui;Rurale;Oui;;;;;;;;;;;"Europe occidentale;Scandinavie (Pays du nord de l'Europe);Océanie;Amérique du Nord (US et Canada);Europe de l'Est;Asie (centrale/ du Sud);Afrique du Nord;Amérique latine;Afrique Sub-Saharienne;Asie de l'Est;";Oui;Italie;Oui;Fort;Très fort;Peu;Fort;Peu;Peu;Fort;Modérément;Fort;Fort;Peu;Peu;Très peu;Modérément
47;Homme;Je ne suis plus aux études;Informatique;Oui;Rurale;Oui;;;;;;;;;;;"Océanie;Scandinavie (Pays du nord de l'Europe);Europe occidentale;Amérique du Nord (US et Canada);Asie de l'Est;Europe de l'Est;Amérique latine;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Afrique du Nord;";Non;;;Fort;Modérément;Peu;Peu;Très peu;Très fort;Modérément;Modérément;Peu;Modérément;Très peu;Peu;Peu;Fort
48;Homme;Je ne suis plus aux études;Sciences politiques, sociales, économiques, de communication;Oui;Urbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Océanie;Europe de l'Est;Afrique Sub-Saharienne;Europe occidentale;Asie de l'Est;Amérique du Nord (US et Canada);Asie (centrale/ du Sud);Amérique latine;Afrique du Nord;";Non;;;Fort;Fort;Modérément;Modérément;Modérément;Modérément;Fort;Modérément;Modérément;Modérément;Modérément;Modérément;Modérément;Modérément
49;Homme;Bac;Ingénieur civil / industriel;Non;Périurbaine;Oui;;;;;;;;;;;"Europe de l'Est;Asie de l'Est;Scandinavie (Pays du nord de l'Europe);Océanie;Europe occidentale;Amérique latine;Asie (centrale/ du Sud);Amérique du Nord (US et Canada);Afrique Sub-Saharienne;Afrique du Nord;";Non;;;Très fort;Modérément;Modérément;Modérément;Peu;Fort;Modérément;Peu;Modérément;Modérément;Peu;Modérément;Fort;Fort
50;Homme;Master ;Gestion (ingénieur);Oui;Urbaine;Oui;;;;;;;;;;;"Amérique latine;Europe occidentale;Asie (centrale/ du Sud);Europe de l'Est;Asie de l'Est;Afrique du Nord;Scandinavie (Pays du nord de l'Europe);Océanie;Afrique Sub-Saharienne;Amérique du Nord (US et Canada);";Non;;;Modérément;Peu;Modérément;Modérément;Peu;Peu;Modérément;Peu;Fort;Modérément;Modérément;Fort;Modérément;Peu
51;Homme;Je ne suis plus aux études;Informatique;Oui;Urbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Europe de l'Est;Europe occidentale;Asie (centrale/ du Sud);Asie de l'Est;Océanie;Afrique du Nord;Amérique latine;Afrique Sub-Saharienne;";Non;;;Peu;Très peu;Modérément;Fort;Très peu;Très peu;Fort;Fort;Fort;Très fort;Très peu;Modérément;Fort;Très fort
52;Homme;Bac;Sciences politiques, sociales, économiques, de communication;Non;Périurbaine;Peut-être;;;;;;;;;;;"Amérique du Nord (US et Canada);Océanie;Europe occidentale;Amérique latine;Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Asie de l'Est;Asie (centrale/ du Sud);Afrique du Nord;Afrique Sub-Saharienne;";Non;;;Fort;Peu;Modérément;Fort;Très peu;Fort;Très fort;Fort;Très fort;Modérément;Très peu;Très fort;Très peu;Très fort
53;Homme;Master ;Sciences;Oui;Rurale;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Amérique latine;Océanie;Afrique Sub-Saharienne;Asie de l'Est;Amérique du Nord (US et Canada);Asie (centrale/ du Sud);Afrique du Nord;Europe de l'Est;Europe occidentale;";Non;;;Très fort;Peu;Peu;Fort;Fort;Fort;Fort;Modérément;Très fort;Très fort;Très fort;Très fort;Très fort;Fort
54;Homme;Master ;Sciences politiques, sociales, économiques, de communication;Oui;Urbaine;Peut-être;;;;;;;;;;;"Europe occidentale;Europe de l'Est;Amérique du Nord (US et Canada);Amérique latine;Scandinavie (Pays du nord de l'Europe);Asie (centrale/ du Sud);Afrique du Nord;Asie de l'Est;Afrique Sub-Saharienne;Océanie;";Non;;;Fort;Fort;Modérément;Fort;Modérément;Très fort;Fort;Modérément;Très peu;Fort;Modérément;Fort;Très peu;Fort
55;Femme;Bac;Autre / Je ne suis pas concerné;Non;Rurale;Oui;;;;;;;;;;;"Asie de l'Est;Océanie;Europe occidentale;Scandinavie (Pays du nord de l'Europe);Amérique latine;Europe de l'Est;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Afrique du Nord;Amérique du Nord (US et Canada);";Oui;Shanghai;Oui;Très fort;Très fort;Modérément;Fort;Peu;Fort;Modérément;Modérément;Fort;Fort;Très peu;Modérément;Très peu;Très fort
56;Homme;Je ne suis plus aux études;Ingénieur civil / industriel;Oui;Urbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Europe occidentale;Amérique latine;Asie (centrale/ du Sud);Asie de l'Est;Afrique du Nord;Océanie;Afrique Sub-Saharienne;Amérique du Nord (US et Canada);";Oui;Suède, Norvège;Non;Fort;Modérément;Peu;Peu;Très peu;Fort;Peu;Modérément;Très peu;Très fort;Modérément;Fort;Fort;Modérément
58;Femme;Master ;Sciences;Oui;Urbaine;Oui;;;;;;;;;;;"Océanie;Amérique latine;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Europe occidentale;Europe de l'Est;Asie (centrale/ du Sud);Asie de l'Est;Afrique Sub-Saharienne;Afrique du Nord;";Oui;nouvelle zélande;Non;Fort;Peu;Modérément;Fort;Très peu;Fort;Peu;Modérément;Très peu;Peu;Peu;Peu;Peu;Fort
60;Homme;Je ne suis plus aux études;Autre / Je ne suis pas concerné;Oui;Périurbaine;Oui;;;;;;;;;;;"Océanie;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Amérique latine;Europe occidentale;Asie (centrale/ du Sud);Asie de l'Est;Europe de l'Est;Afrique Sub-Saharienne;Afrique du Nord;";Oui;Australie;Non;Très fort;Très fort;Peu;Peu;Peu;Peu;Peu;Peu;Très fort;Fort;Peu;Modérément;Peu;Fort
61;Homme;Master ;Sciences;Oui;Périurbaine;Oui;;;;;;;;;;;"Amérique du Nord (US et Canada);Asie de l'Est;Océanie;Scandinavie (Pays du nord de l'Europe);Amérique latine;Europe occidentale;Europe de l'Est;Asie (centrale/ du Sud);Afrique du Nord;Afrique Sub-Saharienne;";Non;;;Fort;Peu;Très fort;Modérément;Modérément;Peu;Modérément;Modérément;Très peu;Modérément;Très peu;Fort;Fort;Modérément
62;Femme;Je ne suis plus aux études;Sciences de la santé (Medecine / dentisterie / kinésitérapeute / ...);Non;Urbaine;Oui;;;;;;;;;;;"Amérique du Nord (US et Canada);Europe occidentale;Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Afrique Sub-Saharienne;Asie (centrale/ du Sud);Asie de l'Est;Amérique latine;Afrique du Nord;Océanie;";Non;;;Fort;Modérément;Fort;Fort;Fort;Modérément;Fort;Modérément;Modérément;Fort;Peu;Très fort;Modérément;Très fort
63;Homme;Doctorat;Ingénieur civil / industriel;Non;Urbaine;Oui;;;;;;;;;;;"Amérique du Nord (US et Canada);Asie de l'Est;Océanie;Amérique latine;Scandinavie (Pays du nord de l'Europe);Europe occidentale;Europe de l'Est;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Afrique du Nord;";Non;;;Peu;Peu;Fort;Peu;Peu;Modérément;Modérément;Modérément;Peu;Peu;Peu;Modérément;Peu;Fort
64;Femme;Bac;Sciences de l’éducation;Non;Urbaine;Peut-être;;;;;;;;;;;"Océanie;Asie (centrale/ du Sud);Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Europe occidentale;Europe de l'Est;Amérique latine;Afrique du Nord;Afrique Sub-Saharienne;Asie de l'Est;";Non;;;Fort;Très peu;Très peu;Fort;Très fort;Très fort;Modérément;Très peu;Peu;Modérément;Très peu;Fort;Fort;Très fort
65;Homme;Master ;Sciences politiques, sociales, économiques, de communication;Oui;Périurbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Afrique du Nord;Europe occidentale;Asie (centrale/ du Sud);Asie de l'Est;Amérique latine;Afrique Sub-Saharienne;Océanie;Amérique du Nord (US et Canada);";Non;;;Très fort;Fort;Fort;Fort;Peu;Très fort;Fort;Fort;Modérément;Fort;Très fort;Fort;Très fort;Fort
66;Homme;Doctorat;Sciences;Non;Périurbaine;Oui;;;;;;;;;;;"Océanie;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Asie de l'Est;Amérique latine;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Europe de l'Est;Europe occidentale;Afrique du Nord;";Oui;Australie ;Non;Modérément;Très peu;Modérément;Fort;Peu;Modérément;Peu;Peu;Fort;Modérément;Peu;Peu;Modérément;Modérément
67;Femme;Secondaires;Autre / Je ne suis pas concerné;Non;Urbaine;Peut-être;;;;;;;;;;;"Asie de l'Est;Amérique latine;Océanie;Asie (centrale/ du Sud);Europe occidentale;Europe de l'Est;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Afrique Sub-Saharienne;Afrique du Nord;";Oui;Singapore;Non;Modérément;Peu;Modérément;Modérément;Peu;Modérément;Peu;Fort;Très fort;Modérément;Très peu;Peu;Peu;Fort
68;Homme;Master ;Sciences de l’éducation;Non;Urbaine;Oui;;;;;;;;;;;"Asie de l'Est;Amérique latine;Scandinavie (Pays du nord de l'Europe);Océanie;Asie (centrale/ du Sud);Afrique du Nord;Afrique Sub-Saharienne;Amérique du Nord (US et Canada);Europe de l'Est;Europe occidentale;";Non;;;Fort;Modérément;Très peu;Peu;Peu;Peu;Modérément;Très peu;Peu;Modérément;Modérément;Modérément;Modérément;Peu
69;Homme;Bac;Sciences de l’éducation;Non;Périurbaine;Peut-être;;;;;;;;;;;"Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Océanie;Asie (centrale/ du Sud);Asie de l'Est;Europe de l'Est;Europe occidentale;Amérique latine;Afrique Sub-Saharienne;Afrique du Nord;";Non;;;Fort;Modérément;Très fort;Très fort;Peu;Fort;Fort;Modérément;Modérément;Modérément;Modérément;Peu;Modérément;Très fort
70;Homme;Secondaires;Sciences politiques, sociales, économiques, de communication;Non;Périurbaine;Peut-être;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Asie de l'Est;Océanie;Amérique du Nord (US et Canada);Europe de l'Est;Europe occidentale;Amérique latine;Asie (centrale/ du Sud);Afrique du Nord;Afrique Sub-Saharienne;";Oui;Australie;Oui;Très fort;Fort;Très peu;Très peu;Très peu;Très peu;Très peu;Très peu;Très peu;Peu;Très peu;Très peu;Très peu;Très peu
71;Femme;Master ;Sciences politiques, sociales, économiques, de communication;Oui;Urbaine;Oui;;;;;;;;;;;"Amérique latine;Afrique du Nord;Océanie;Afrique Sub-Saharienne;Asie (centrale/ du Sud);Asie de l'Est;Europe de l'Est;Europe occidentale;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);";Oui;Brésil ou Colombie ;Oui;Très fort;Très fort;Modérément;Modérément;Modérément;Fort;Modérément;Modérément;Fort;Peu;Modérément;Modérément;Peu;Fort
73;Femme;Je ne suis plus aux études;Autre / Je ne suis pas concerné;Oui;Rurale;Oui;;;;;;;;;;;"Amérique latine;Océanie;Afrique du Nord;Asie de l'Est;Asie (centrale/ du Sud);Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Europe occidentale;Afrique Sub-Saharienne;Amérique du Nord (US et Canada);";Non;;;Très fort;Fort;Modérément;Modérément;Modérément;Très fort;Modérément;Très fort;Très fort;Modérément;Modérément;Modérément;Modérément;Très fort
17;Homme;Je ne suis plus aux études;Autre / Je ne suis pas concerné;Oui;Urbaine;Non;Peu;Peu;Fort;Fort;Très peu;Très peu;Modérément;Peu;Modérément;Fort;;;;;;;;;;;;;;;;;;
19;Femme;Master ;Medecine / dentisterie / kinésitérapeute;Oui;Périurbaine;Non;Très peu;Très peu;Très fort;Très fort;Peu;Modérément;Modérément;Fort;Très peu;Fort;;;;;;;;;;;;;;;;;;
21;Femme;Master ;Ingénieur agronomique ;Non;Urbaine;Non;Modérément;Très peu;Très peu;Modérément;Très peu;Très peu;Très peu;Très peu;Très peu;Fort;;;;;;;;;;;;;;;;;;
27;Homme;Bac;Ingénieur civil / industriel;Oui;Périurbaine;Non;Peu;Très peu;Très peu;Modérément;Très peu;Très peu;Très peu;Très peu;Très peu;Très peu;;;;;;;;;;;;;;;;;;
39;Homme;Master ;Autre / Je ne suis pas concerné;Oui;Rurale;Non;Très fort;Peu;Modérément;Très peu;Peu;Très peu;Très peu;Très peu;Peu;Modérément;;;;;;;;;;;;;;;;;;
57;Homme;Master ;Ingénieur civil / industriel;Oui;Urbaine;Non;Très peu;Très peu;Très fort;Très fort;Très peu;Fort;Très peu;Très fort;Fort;Modérément;;;;;;;;;;;;;;;;;;
59;Homme;Master ;Sciences de la santé (Medecine / dentisterie / kinésitérapeute / ...);Non;Périurbaine;Non;Modérément;Fort;Fort;Fort;Modérément;Fort;Modérément;Fort;Fort;Fort;;;;;;;;;;;;;;;;;;
72;Homme;Je ne suis plus aux études;Sciences de la santé (Medecine / dentisterie / kinésitérapeute / ...);Non;Périurbaine;Non;Modérément;Peu;Peu;Modérément;Fort;Fort;Très peu;Peu;Modérément;Fort;;;;;;;;;;;;;;;;;;
74;Femme;Doctorat;Sciences politiques, sociales, économiques, de communication;Oui;Urbaine;Non;Modérément;Très peu;Fort;Fort;Peu;Très peu;Très peu;Très peu;Très peu;Modérément;;;;;;;;;;;;;;;;;;
75;Homme;Bac;Gestion (ingénieur);Non;Périurbaine;Non;Modérément;Modérément;Fort;Modérément;Peu;Peu;Modérément;Modérément;Peu;Modérément;;;;;;;;;;;;;;;;;;
76;Femme;Master ;Sciences politiques, sociales, économiques, de communication;Oui;Périurbaine;Oui;;;;;;;;;;;"Europe occidentale;Océanie;Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Amérique latine;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Asie de l'Est;Afrique du Nord;Europe de l'Est;";Non;;;Modérément;Peu;Modérément;Modérément;Modérément;Modérément;Modérément;Modérément;Peu;Modérément;Modérément;Modérément;Modérément;Fort
78;Homme;Bac;Sciences;Non;Urbaine;Oui;;;;;;;;;;;"Océanie;Amérique du Nord (US et Canada);Amérique latine;Asie de l'Est;Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Europe occidentale;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Afrique du Nord;";Non;;;Très fort;Modérément;Modérément;Modérément;Modérément;Très peu;Peu;Modérément;Très peu;Très peu;Très peu;Fort;Très peu;Fort
79;Homme;Je ne suis plus aux études;Informatique;Non;Périurbaine;Peut-être;;;;;;;;;;;"Europe occidentale;Océanie;Asie de l'Est;Amérique latine;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Scandinavie (Pays du nord de l'Europe);Afrique du Nord;Europe de l'Est;Amérique du Nord (US et Canada);";Non;;;Fort;Modérément;Fort;Fort;Très peu;Fort;Modérément;Peu;Modérément;Peu;Peu;Peu;Peu;Fort
80;Homme;Je ne suis plus aux études;Sciences de l’éducation;Non;Urbaine;Peut-être;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Europe occidentale;Océanie;Asie (centrale/ du Sud);Asie de l'Est;Amérique latine;Amérique du Nord (US et Canada);Europe de l'Est;Afrique Sub-Saharienne;Afrique du Nord;";Non;;;Fort;Peu;Fort;Fort;Peu;Modérément;Peu;Peu;Très peu;Très peu;Très peu;Fort;Peu;Modérément
82;Femme;Bac;Autre / Je ne suis pas concerné;Oui;Périurbaine;Peut-être;;;;;;;;;;;"Europe occidentale;Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Amérique du Nord (US et Canada);Amérique latine;Afrique du Nord;Océanie;Afrique Sub-Saharienne;Asie (centrale/ du Sud);Asie de l'Est;";Non;;;Modérément;Fort;Fort;Fort;Fort;Fort;Modérément;Modérément;Fort;Modérément;Peu;Fort;Modérément;Très fort
83;Homme;Bac;Sciences;Oui;Rurale;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Europe occidentale;Amérique latine;Europe de l'Est;Océanie;Amérique du Nord (US et Canada);Afrique du Nord;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Asie de l'Est;";Oui;Oslo;Non;Fort;Modérément;Fort;Fort;Modérément;Fort;Fort;Fort;Fort;Fort;Fort;Fort;Fort;Fort
84;Femme;Je ne suis plus aux études;Sciences politiques, sociales, économiques, de communication;Non;Rurale;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Europe occidentale;Asie de l'Est;Europe de l'Est;Amérique du Nord (US et Canada);Asie (centrale/ du Sud);Océanie;Afrique du Nord;Afrique Sub-Saharienne;Amérique latine;";Non;;;Modérément;Peu;Très fort;Très fort;Modérément;Modérément;Peu;Peu;Très peu;Peu;Peu;Modérément;Peu;Modérément
85;Femme;Secondaires;Sciences politiques, sociales, économiques, de communication;Non;Rurale;Oui;;;;;;;;;;;"Asie de l'Est;Scandinavie (Pays du nord de l'Europe);Europe occidentale;Europe de l'Est;Océanie;Asie (centrale/ du Sud);Amérique du Nord (US et Canada);Amérique latine;Afrique du Nord;Afrique Sub-Saharienne;";Non;;;Fort;Modérément;Très fort;Très fort;Modérément;Peu;Peu;Peu;Peu;Peu;Très peu;Modérément;Peu;Fort
86;Homme;Je ne suis plus aux études;Ingénieur civil / industriel;Oui;Urbaine;Oui;;;;;;;;;;;"Asie de l'Est;Europe occidentale;Asie (centrale/ du Sud);Amérique latine;Scandinavie (Pays du nord de l'Europe);Océanie;Amérique du Nord (US et Canada);Europe de l'Est;Afrique du Nord;Afrique Sub-Saharienne;";Non;;;Fort;Modérément;Modérément;Fort;Peu;Modérément;Fort;Modérément;Modérément;Peu;Peu;Très fort;Peu;Fort
